"","PlaceCode","pop","popMOE","hh","hhMOE","m_under5","m_under5MOE","f_under5","f_under5MOE","racepop","racepopMOE","white","whiteMOE","black","blackMOE","asian","asianMOE","hisp","hispMOE","renter","renterMOE","occupied","occupiedMOE","Population","Population_MOE","Total_Households","Total_Households_MOE","Population_Under_5","Population_Under_5_MOE","White_percent","White_MOEprop","Black_percent","Black_MOEprop","Asian_percent","Asian_MOEprop","Hispanic_percent","Hispanic_MOEprop","Renter_percent","Renter_MOEprop"
"45",1737,3411,331,1336,78,134,71,263,100,3411,331,119,46,3173,355,5,7,30,23,822,77,1336,78,3411,331,1336,78,397,122.641754716736,0.0348871298739373,0.013053937468477,0.930225740252125,0.0518003301553798,0.00146584579302257,0.00204724844866954,0.00879507475813544,0.00668865991571769,0.615269461077844,0.045071207040506
"46",1739,2106,266,628,44,61,53,178,76,2106,266,50,50,2003,300,0,12,14,21,138,45,628,44,2106,266,628,44,239,92.655275079188,0.0237416904083571,0.0235515516174367,0.951092117758784,0.0765584743615103,0,0.0056980056980057,0.00664767331433998,0.00993609663656185,0.219745222929936,0.0699824823124998
"47",1740,5007,647,1958,121,100,79,149,97,5007,647,0,17,4998,647,0,17,0,17,983,127,1958,121,5007,647,1958,121,249,125.099960031968,0,0.00339524665468344,0.998202516476932,0.0077442417019565,0,0.00339524665468344,0,0.00339524665468344,0.502042900919305,0.0569608136959632
"48",1741,1568,209,464,54,45,25,55,29,1568,209,23,26,928,162,571,128,31,31,92,43,464,54,1568,209,464,54,100,38.2883794381533,0.0146683673469388,0.0164659617412314,0.591836734693878,0.0667173064973359,0.364158163265306,0.0656343009468408,0.0197704081632653,0.0195939961963548,0.198275862068966,0.0897536130194539
"49",1743,2304,320,882,82,117,68,168,127,2304,320,38,41,2255,326,0,12,4,6,550,79,882,82,2304,320,882,82,285,144.059015684545,0.0164930555555556,0.0176470862095348,0.978732638888889,0.0392674982800367,0,0.00520833333333333,0.00173611111111111,0.00259297937090472,0.623582766439909,0.0682755844001179
"50",1744,4862,727,1635,111,286,135,217,139,4862,727,6,10,4795,735,0,12,49,74,1260,142,1635,111,4862,727,1635,111,503,193.76790239872,0.00123406005758947,0.00204847259096059,0.986219662690251,0.033267685396756,0,0.00246812011517894,0.0100781571369807,0.0151452876302687,0.770642201834862,0.0693230788154194
"51",1745,3525,374,1336,106,144,99,51,49,3525,374,111,71,3259,411,88,126,0,12,600,113,1336,106,3525,374,1336,106,195,110.462663375459,0.0314893617021277,0.0198628196547124,0.924539007092199,0.0630265355444934,0.0249645390070922,0.035646409245872,0,0.00340425531914894,0.449101796407186,0.0767089004061321
"52",1746,4278,572,1589,111,115,83,139,88,4278,572,80,62,4078,575,0,12,98,123,734,131,1589,111,4278,572,1589,111,254,120.966937631735,0.018700327255727,0.0142754352782566,0.953249181860683,0.042667731173147,0,0.00280504908835905,0.0229079008882655,0.0285881377378371,0.461925739458779,0.0758645392939006
"53",1747,4307,420,1461,67,114,55,59,46,4307,420,29,47,3046,371,1029,340,20,31,88,54,1461,67,4307,420,1461,67,173,71.7007670809734,0.00673322498258649,0.0108926967529326,0.707220803343394,0.0516111783193977,0.238913396795914,0.0754250274996379,0.00464360343626654,0.00718332686526334,0.0602327173169062,0.0368576266475779
"54",1748,4731,629,1509,122,224,141,155,93,4731,629,147,93,4281,593,278,185,25,60,356,114,1509,122,4731,629,1509,122,379,168.908259123111,0.0310716550412175,0.0192186018690435,0.904882688649334,0.0351749179340069,0.0587613612344113,0.0383154129357126,0.00528429507503699,0.012662833299826,0.235917826375083,0.0730992944685101
"55",1749,3106,391,807,56,101,55,97,51,3106,391,45,42,1241,277,1482,252,311,142,364,76,807,56,3106,391,807,56,198,75.0066663703967,0.0144880875724404,0.0133986534258211,0.399549259497746,0.0736453675843557,0.477141017385705,0.0545416996712489,0.100128783000644,0.0439460193507672,0.451053283767038,0.0888224662682604
"56",1750,3770,535,1092,103,270,136,204,111,3770,535,48,58,1377,395,1873,380,424,285,622,110,1092,103,3770,535,1092,103,474,175.547714311523,0.0127320954907162,0.0152781487969107,0.36525198938992,0.091055257095069,0.496816976127321,0.0720352866946653,0.112466843501326,0.0738928439342234,0.56959706959707,0.085209170205358
"57",1751,753,227,273,49,26,28,0,12,753,227,123,156,481,157,4,6,127,115,246,50,273,49,753,227,273,49,26,30.4630924234556,0.163346613545817,0.201233992014981,0.638778220451527,0.0799379414272818,0.00531208499335989,0.00780555059729352,0.168658698539177,0.14401053237265,0.901098901098901,0.0859392394058417
