"","CTYNAME","Year","Whitepct","Blackpct","AIpct","Asianpct","Hawaiianpct","Twopct","Hispanicpct"
"35","Natchitoches Parish, Louisiana","cen42010",0.537077288581105,0.415103877066168,0.00877015619471263,0.003690036900369,0.000202193802759945,0.0165798918263155,0.01857655562857
"36","Orleans Parish, Louisiana","cen42010",0.306251072480797,0.598399204255604,0.00243725805560322,0.0289882470646746,0.000322834897579902,0.0111014486852476,0.0524999345604937
"37","Ouachita Parish, Louisiana","cen42010",0.596344002081707,0.364266198282592,0.00228337236533958,0.00945875618006766,0.00026671870934166,0.00942622950819672,0.0179547228727557
"38","Plaquemines Parish, Louisiana","cen42010",0.681277666869195,0.204192344414547,0.015406648728409,0.0316378786563666,0.000911379220553771,0.0202673379046958,0.0463067442062321
"39","Pointe Coupee Parish, Louisiana","cen42010",0.604289097447592,0.362775195158319,0.000701692833961933,0.00258749232523463,0,0.00806946759056223,0.0215770546443294
"40","Rapides Parish, Louisiana","cen42010",0.621169641296832,0.31910221634641,0.00742327885543221,0.012004893133657,0.000197548874351318,0.0141323425497481,0.0259700789435694
"41","Red River Parish, Louisiana","cen42010",0.583874161258387,0.394566054339457,0.003629963700363,0.001319986800132,0.000109998900011,0.00538994610053899,0.011109888901111
"42","Richland Parish, Louisiana","cen42010",0.613848009650181,0.357442702050663,0.0027503015681544,0.00260554885404101,9.65018094089264e-05,0.00723763570566948,0.0160193003618818
"43","Sabine Parish, Louisiana","cen42010",0.692485453720134,0.165435563075145,0.0775388932447489,0.00218710023521644,0,0.0285148351421615,0.033838154582594
"44","St. Bernard Parish, Louisiana","cen42010",0.688664790929604,0.175947850795331,0.00568292614981753,0.019221661977324,0.000278574811265565,0.0180237902888821,0.0921804050477756
"45","St. Charles Parish, Louisiana","cen42010",0.662807881773399,0.264361500568397,0.00303145130731338,0.00845017051913604,0.000359984842743463,0.0108184918529746,0.0501705191360364
"46","St. Helena Parish, Louisiana","cen42010",0.447290904222083,0.533339284120325,0.00303490136570561,0.000803356243863251,8.92618048736945e-05,0.0066053735606534,0.00883691868249576
"47","St. James Parish, Louisiana","cen42010",0.474708171206226,0.504795946068229,0.00194552529182879,0.00158356709800018,0.00013573432268573,0.00524839381051489,0.0115826622025156
"48","St. John the Baptist Parish, Louisiana","cen42010",0.400836164097204,0.532227157913074,0.00254768748366867,0.00688093371657521,0.000566152774148593,0.00958104694713004,0.0473608570681996
"49","St. Landry Parish, Louisiana","cen42010",0.554255012952125,0.41380840449007,0.00320205315168378,0.00378969586491413,4.79708337330903e-05,0.00905449486712079,0.0158423678403531
"50","St. Martin Parish, Louisiana","cen42010",0.651610429447853,0.306729294478528,0.00414110429447853,0.0075728527607362,5.75153374233129e-05,0.0093558282208589,0.0205329754601227
"51","St. Mary Parish, Louisiana","cen42010",0.573266239707228,0.323970722781336,0.0172003659652333,0.0171454711802379,0.000219579139981702,0.0147666971637694,0.0534309240622141
"52","St. Tammany Parish, Louisiana","cen42010",0.807842046718576,0.114293659621802,0.00451784033541542,0.0126251390433815,0.000312312826217164,0.0134765123641653,0.0469324890904424
"53","Tangipahoa Parish, Louisiana","cen42010",0.64361627455676,0.301675516321626,0.00295630775328869,0.00597042040678134,0.000297282343906125,0.010305787922079,0.0351784106955581
"54","Tensas Parish, Louisiana","cen42010",0.415079969535415,0.563214013709063,0.00114242193450114,0.00152322924600152,0,0.00666412795125666,0.0123762376237624
"55","Terrebonne Parish, Louisiana","cen42010",0.687475415698194,0.188396209547649,0.0559091721795101,0.0101197925978902,0.000357589844448418,0.0182192025746469,0.0395226175576614
"56","Union Parish, Louisiana","cen42010",0.677963117820518,0.27089476695568,0.00233264380969148,0.00136437656793275,0.000704194357642709,0.00523744553496765,0.0415034549535672
"57","Vermilion Parish, Louisiana","cen42010",0.800082760047587,0.142571423645235,0.00341385196296488,0.0199313781272091,8.62083829031535e-05,0.0101036224762496,0.023810755357851
"58","Vernon Parish, Louisiana","cen42010",0.723353842626209,0.139660641265716,0.0132227614934842,0.0169870447510223,0.00464325295219169,0.0299996178392632,0.0721328390721137
"59","Washington Parish, Louisiana","cen42010",0.658052069199457,0.309001865671642,0.00269250339213026,0.00228968792401628,6.36024423337856e-05,0.00909514925373134,0.0188051221166893
"60","Webster Parish, Louisiana","cen42010",0.632780838207101,0.33457907637052,0.00334894556750067,0.00291212658043536,0.000194141772029024,0.00992549809498386,0.0162593734074308
"61","West Baton Rouge Parish, Louisiana","cen42010",0.58655624684715,0.377333109130654,0.00113502606356146,0.00327896418362199,4.20380023541281e-05,0.00878594249201278,0.0228686732806457
"62","West Carroll Parish, Louisiana","cen42010",0.805325749741468,0.156153050672182,0.00379179593243709,0.00224060668734919,0,0.00672182006204757,0.0257669769045157
"63","West Feliciana Parish, Louisiana","cen42010",0.512384,0.463232,0.001408,0.001984,0.000192,0.004736,0.016064
